type,name,value,date
新疆,新疆伊犁州霍城县,40.31,2020/2/19
新疆,新疆伊犁州霍城县,47.56,2020/2/20
新疆,新疆伊犁州霍城县,54.800000000000004,2020/2/21
新疆,新疆伊犁州霍城县,59.940000000000005,2020/2/22
新疆,新疆伊犁州霍城县,65.58,2020/2/23
新疆,新疆伊犁州霍城县,68.03,2020/2/24
新疆,新疆伊犁州霍城县,81.43,2020/2/25
新疆,新疆伊犁州霍城县,81.65,2020/2/26
新疆,新疆伊犁州霍城县,81.54,2020/2/27
新疆,新疆伊犁州霍城县,81.55,2020/2/28
湖南,湖南永州市冷水滩区,32.1,2020/2/19
湖南,湖南永州市冷水滩区,39.14,2020/2/20
湖南,湖南永州市冷水滩区,45.18,2020/2/21
湖南,湖南永州市冷水滩区,50.7,2020/2/22
湖南,湖南永州市冷水滩区,56.58,2020/2/23
湖南,湖南永州市冷水滩区,60.61,2020/2/24
湖南,湖南永州市冷水滩区,70.16,2020/2/25
湖南,湖南永州市冷水滩区,70.67999999999999,2020/2/26
湖南,湖南永州市冷水滩区,71.00999999999999,2020/2/27
湖南,湖南永州市冷水滩区,71.92,2020/2/28
河南,河南商丘市睢阳区,30.54,2020/2/19
河南,河南商丘市睢阳区,36.96,2020/2/20
河南,河南商丘市睢阳区,44.7,2020/2/21
河南,河南商丘市睢阳区,49.82,2020/2/22
河南,河南商丘市睢阳区,56.81,2020/2/23
河南,河南商丘市睢阳区,64.75999999999999,2020/2/24
河南,河南商丘市睢阳区,70.19999999999999,2020/2/25
河南,河南商丘市睢阳区,70.67,2020/2/26
河南,河南商丘市睢阳区,70.97,2020/2/27
河南,河南商丘市睢阳区,71.81,2020/2/28
广西,广西贵港市港南区,30.06,2020/2/19
广西,广西贵港市港南区,38.3,2020/2/20
广西,广西贵港市港南区,44.82,2020/2/21
广西,广西贵港市港南区,51.459999999999994,2020/2/22
广西,广西贵港市港南区,57.05,2020/2/23
广西,广西贵港市港南区,65.62,2020/2/24
广西,广西贵港市港南区,69.77,2020/2/25
广西,广西贵港市港南区,70.14,2020/2/26
广西,广西贵港市港南区,70.30999999999999,2020/2/27
广西,广西贵港市港南区,71.13000000000001,2020/2/28
新疆,新疆伊犁州伊宁县,24.41,2020/2/19
新疆,新疆伊犁州伊宁县,27.810000000000002,2020/2/20
新疆,新疆伊犁州伊宁县,39.739999999999995,2020/2/21
新疆,新疆伊犁州伊宁县,45.300000000000004,2020/2/22
新疆,新疆伊犁州伊宁县,45.65,2020/2/23
新疆,新疆伊犁州伊宁县,45.739999999999995,2020/2/24
新疆,新疆伊犁州伊宁县,69.92,2020/2/25
新疆,新疆伊犁州伊宁县,69.89,2020/2/26
新疆,新疆伊犁州伊宁县,69.81,2020/2/27
新疆,新疆伊犁州伊宁县,70.73,2020/2/28
广西,广西贵港市港北区,31.830000000000002,2020/2/19
广西,广西贵港市港北区,39.61,2020/2/20
广西,广西贵港市港北区,45.89,2020/2/21
广西,广西贵港市港北区,51.449999999999996,2020/2/22
广西,广西贵港市港北区,57.49999999999999,2020/2/23
广西,广西贵港市港北区,65.73,2020/2/24
广西,广西贵港市港北区,70.30999999999999,2020/2/25
广西,广西贵港市港北区,70.6,2020/2/26
广西,广西贵港市港北区,71.09,2020/2/27
广西,广西贵港市港北区,70.02000000000001,2020/2/28
四川,四川南充市高坪区,29.99,2020/2/19
四川,四川南充市高坪区,37.24,2020/2/20
四川,四川南充市高坪区,43.519999999999996,2020/2/21
四川,四川南充市高坪区,49.480000000000004,2020/2/22
四川,四川南充市高坪区,54.66,2020/2/23
四川,四川南充市高坪区,64.59,2020/2/24
四川,四川南充市高坪区,68.12,2020/2/25
四川,四川南充市高坪区,68.36,2020/2/26
四川,四川南充市高坪区,68.08999999999999,2020/2/27
四川,四川南充市高坪区,69.24,2020/2/28
新疆,新疆和田地区墨玉县,30.04,2020/2/19
新疆,新疆和田地区墨玉县,35.15,2020/2/20
新疆,新疆和田地区墨玉县,42.52,2020/2/21
新疆,新疆和田地区墨玉县,48.44,2020/2/22
新疆,新疆和田地区墨玉县,53.190000000000005,2020/2/23
新疆,新疆和田地区墨玉县,55.97,2020/2/24
新疆,新疆和田地区墨玉县,66.07,2020/2/25
新疆,新疆和田地区墨玉县,66.72,2020/2/26
新疆,新疆和田地区墨玉县,67.24,2020/2/27
新疆,新疆和田地区墨玉县,68.49,2020/2/28
江苏,江苏淮安市淮阴区,27.87,2020/2/19
江苏,江苏淮安市淮阴区,31.080000000000002,2020/2/20
江苏,江苏淮安市淮阴区,38.87,2020/2/21
江苏,江苏淮安市淮阴区,46.5,2020/2/22
江苏,江苏淮安市淮阴区,51.300000000000004,2020/2/23
江苏,江苏淮安市淮阴区,65.23,2020/2/24
江苏,江苏淮安市淮阴区,66.36999999999999,2020/2/25
江苏,江苏淮安市淮阴区,66.91,2020/2/26
江苏,江苏淮安市淮阴区,67.33,2020/2/27
江苏,江苏淮安市淮阴区,67.71000000000001,2020/2/28
广西,广西柳州市柳江区,26.38,2020/2/19
广西,广西柳州市柳江区,34.870000000000005,2020/2/20
广西,广西柳州市柳江区,42.33,2020/2/21
广西,广西柳州市柳江区,47.160000000000004,2020/2/22
广西,广西柳州市柳江区,50.449999999999996,2020/2/23
广西,广西柳州市柳江区,53.2,2020/2/24
广西,广西柳州市柳江区,64.89,2020/2/25
广西,广西柳州市柳江区,64.61,2020/2/26
广西,广西柳州市柳江区,64.97,2020/2/27
广西,广西柳州市柳江区,66.64,2020/2/28
新疆,新疆喀什地区莎车县,31.269999999999996,2020/2/19
新疆,新疆喀什地区莎车县,36.370000000000005,2020/2/20
新疆,新疆喀什地区莎车县,41.370000000000005,2020/2/21
新疆,新疆喀什地区莎车县,46.410000000000004,2020/2/22
新疆,新疆喀什地区莎车县,49.8,2020/2/23
新疆,新疆喀什地区莎车县,52.73,2020/2/24
新疆,新疆喀什地区莎车县,64.45,2020/2/25
新疆,新疆喀什地区莎车县,64.89,2020/2/26
新疆,新疆喀什地区莎车县,65.31,2020/2/27
新疆,新疆喀什地区莎车县,65.96,2020/2/28
广东,广东汕尾市陆丰市,30.64,2020/2/19
广东,广东汕尾市陆丰市,35.93,2020/2/20
广东,广东汕尾市陆丰市,43.18,2020/2/21
广东,广东汕尾市陆丰市,44.41,2020/2/22
广东,广东汕尾市陆丰市,49.38,2020/2/23
广东,广东汕尾市陆丰市,49.04,2020/2/24
广东,广东汕尾市陆丰市,63.41,2020/2/25
广东,广东汕尾市陆丰市,63.21,2020/2/26
广东,广东汕尾市陆丰市,63.870000000000005,2020/2/27
广东,广东汕尾市陆丰市,65.57,2020/2/28
四川,四川绵阳市游仙区,33.239999999999995,2020/2/19
四川,四川绵阳市游仙区,34.43,2020/2/20
四川,四川绵阳市游仙区,42.95,2020/2/21
四川,四川绵阳市游仙区,47.24,2020/2/22
四川,四川绵阳市游仙区,51.160000000000004,2020/2/23
四川,四川绵阳市游仙区,65.11,2020/2/24
四川,四川绵阳市游仙区,64.67,2020/2/25
四川,四川绵阳市游仙区,65.21000000000001,2020/2/26
四川,四川绵阳市游仙区,65.42,2020/2/27
四川,四川绵阳市游仙区,65.33,2020/2/28
河南,河南商丘市梁园区,32.910000000000004,2020/2/19
河南,河南商丘市梁园区,38.57,2020/2/20
河南,河南商丘市梁园区,43.05,2020/2/21
河南,河南商丘市梁园区,46.650000000000006,2020/2/22
河南,河南商丘市梁园区,48.07,2020/2/23
河南,河南商丘市梁园区,61.92999999999999,2020/2/24
河南,河南商丘市梁园区,62.81,2020/2/25
河南,河南商丘市梁园区,62.56,2020/2/26
河南,河南商丘市梁园区,63.12,2020/2/27
河南,河南商丘市梁园区,64.92,2020/2/28
广西,广西河池市宜州区,25.7,2020/2/19
广西,广西河池市宜州区,32.74,2020/2/20
广西,广西河池市宜州区,41.14,2020/2/21
广西,广西河池市宜州区,45.2,2020/2/22
广西,广西河池市宜州区,48.82,2020/2/23
广西,广西河池市宜州区,51.519999999999996,2020/2/24
广西,广西河池市宜州区,64.48,2020/2/25
广西,广西河池市宜州区,64.2,2020/2/26
广西,广西河池市宜州区,64.14,2020/2/27
广西,广西河池市宜州区,64.75,2020/2/28
四川,四川达州市达川区,26.69,2020/2/19
四川,四川达州市达川区,36.730000000000004,2020/2/20
四川,四川达州市达川区,37.72,2020/2/21
四川,四川达州市达川区,39.2,2020/2/22
四川,四川达州市达川区,45.22,2020/2/23
四川,四川达州市达川区,61.92999999999999,2020/2/24
四川,四川达州市达川区,62.160000000000004,2020/2/25
四川,四川达州市达川区,62.43,2020/2/26
四川,四川达州市达川区,63.05,2020/2/27
四川,四川达州市达川区,64.60000000000001,2020/2/28
湖南,湖南怀化市沅陵县,30.070000000000004,2020/2/19
湖南,湖南怀化市沅陵县,35.77,2020/2/20
湖南,湖南怀化市沅陵县,40.77,2020/2/21
湖南,湖南怀化市沅陵县,45.73,2020/2/22
湖南,湖南怀化市沅陵县,49.230000000000004,2020/2/23
湖南,湖南怀化市沅陵县,51.480000000000004,2020/2/24
湖南,湖南怀化市沅陵县,62.01,2020/2/25
湖南,湖南怀化市沅陵县,62.5,2020/2/26
湖南,湖南怀化市沅陵县,62.970000000000006,2020/2/27
湖南,湖南怀化市沅陵县,63.7,2020/2/28
贵州,贵州遵义市桐梓县,31.89,2020/2/19
贵州,贵州遵义市桐梓县,40.46,2020/2/20
贵州,贵州遵义市桐梓县,43.61,2020/2/21
贵州,贵州遵义市桐梓县,45.839999999999996,2020/2/22
贵州,贵州遵义市桐梓县,47.4,2020/2/23
贵州,贵州遵义市桐梓县,48.76,2020/2/24
贵州,贵州遵义市桐梓县,63.14999999999999,2020/2/25
贵州,贵州遵义市桐梓县,63.449999999999996,2020/2/26
贵州,贵州遵义市桐梓县,63.3,2020/2/27
贵州,贵州遵义市桐梓县,62.629999999999995,2020/2/28
广东,广东汕头市潮阳区,27.169999999999998,2020/2/19
广东,广东汕头市潮阳区,34.42,2020/2/20
广东,广东汕头市潮阳区,41.19,2020/2/21
广东,广东汕头市潮阳区,45.540000000000006,2020/2/22
广东,广东汕头市潮阳区,48.99,2020/2/23
广东,广东汕头市潮阳区,48.52,2020/2/24
广东,广东汕头市潮阳区,61.6,2020/2/25
广东,广东汕头市潮阳区,61.44,2020/2/26
广东,广东汕头市潮阳区,61.85000000000001,2020/2/27
广东,广东汕头市潮阳区,62.4,2020/2/28
四川,四川南充市嘉陵区,28.470000000000002,2020/2/19
四川,四川南充市嘉陵区,34.510000000000005,2020/2/20
四川,四川南充市嘉陵区,40.04,2020/2/21
四川,四川南充市嘉陵区,45.12,2020/2/22
四川,四川南充市嘉陵区,49.74,2020/2/23
四川,四川南充市嘉陵区,58.199999999999996,2020/2/24
四川,四川南充市嘉陵区,61.75000000000001,2020/2/25
四川,四川南充市嘉陵区,62.480000000000004,2020/2/26
四川,四川南充市嘉陵区,62.660000000000004,2020/2/27
四川,四川南充市嘉陵区,61.970000000000006,2020/2/28
广西,广西百色市靖西市,26.87,2020/2/19
广西,广西百色市靖西市,34.599999999999994,2020/2/20
广西,广西百色市靖西市,39.2,2020/2/21
